city,lat,lng,country,iso2,admin_name,Regions,population,population_proper,cases,"(Upper tier) total cumulative confirmed covid cases per 100,000 population","(Lower tier) total cumulative confirmed covid cases per 100,000 population"
Crediton,50.791,-3.656,United Kingdom,GB,Devon,,7835,7835,,6363.60,
Millom,54.2096,-3.2702,United Kingdom,GB,Cumbria,,7829,7829,,9575.00,
Rainworth,53.1197,-1.1235,United Kingdom,GB,Nottinghamshire,,7821,7821,,11286.40,
Edenbridge,51.197,0.065,United Kingdom,GB,Kent,,7808,7808,,10120.00,
Willesborough,51.1386,0.8957,United Kingdom,GB,Kent,,7800,7800,,10120.00,
West Thurrock,51.4836,0.282,United Kingdom,GB,Thurrock,,7795,7795,,13098.50,13127.6
Rainford,53.503,-2.783,United Kingdom,GB,St. Helens,,7779,7779,,14092.60,14140.1
Annfield Plain,54.857,-1.737,United Kingdom,GB,Durham,,7774,7774,,,
Cross Gates,53.8063,-1.4506,United Kingdom,GB,Leeds,,7770,7770,,13390.40,13451.2
Hook,51.2773,-0.9633,United Kingdom,GB,Hampshire,,7770,7770,,7789.10,
